Gold set 15000 by, Sasete: Initial donate from Sasete ~ 10:53:8 , 28:5:2019
Gold set 13250 by, Username here...: 100 Fabric has been bought ~ 3:36:53 , 11:6:2019
Gold set 11900 by, Username here...: Enter a description here... ~ 5:24:24 , 11:6:2019
Gold set 11900 by, Username here...: 300 Bait Worm bought. ~ 5:25:8 , 11:6:2019
Gold set 13800 by, Sasyy: 100 Fabric sold ~ 17:1:58 , 11:6:2019
Gold set 11900 by, Sasyy: 100 Fabric bought ~ 15:40:28 , 12:6:2019
Gold set 12050 by, Sasyy: Wrong Calculation Fix ~ 15:41:40 , 12:6:2019
Value set 15600 by, Sasyy: Enter a description here... ~ 15:49:55 , 12:6:2019
Gold set 15600 by, Sasyy: Enter a description here... ~ 15:51:7 , 12:6:2019
Gold set 12050 by, Sasyy: Trying for adding Value ~ 15:51:55 , 12:6:2019
Gold set 15600 by, Sasyy: Enter a description here... ~ 15:52:24 , 12:6:2019
Value set 15600 by, Sasyy: Enter a description here... ~ 15:53:40 , 12:6:2019
Value set 15600 by, Username here...: Enter a description here... ~ 15:54:35 , 12:6:2019
Value set 15600 by, Sasyy: Enter a description here... ~ 15:56:0 , 12:6:2019
Value set 8550 by, Sasyy: 1000 Chopped Produce bought ~ 16:11:39 , 12:6:2019
Gold set 8550 by, Sasyy: 1000x Chopped Produce bought ~ 16:12:1 , 12:6:2019
Value set 16100 by, Sasyy: 1000x Chopped Produce Bought Previously one was wrong calculation ~ 16:14:44 , 12:6:2019
Gold set 10450 by, Sasyy: 100x Fabric sold ~ 16:16:50 , 12:6:2019
Gold set 8700 by, Sasyy: 100 Fabric bought ~ 15:12:29 , 13:6:2019
Value set 16250 by, Sasyy: 100 Fabric bought ~ 15:14:15 , 13:6:2019
Gold set 0 by, Sasyy: Deneme ~ 15:42:59 , 13:6:2019
Value set 16200 by, Sasyy: deneme ~ 15:43:11 , 13:6:2019
Value set 16250 by, Sasyy: deneme ~ 15:43:23 , 13:6:2019
Gold set 8700 by, Sasyy: v1.17 update button fixed trying to push over our app ~ 15:45:38 , 13:6:2019
Value set 16200 by, Sasyy: Trying new update button ~ 15:48:53 , 13:6:2019
Value set 16250 by, Sasyy: Update button still doesn't work :( ~ 15:51:48 , 13:6:2019
Gold set 5200 by, Sasyy: 100 Worm Compost bought ~ 10:2:38 , 14:6:2019
Value set 16750 by, Sasyy: 100 WormCompost bought ~ 10:3:26 , 14:6:2019
Gold set 1700 by, Sasyy: 200 Fabric bought ~ 13:55:41 , 15:6:2019
Value set 17750 by, Sasyy: 200 Fabric bought ~ 13:56:15 , 15:6:2019
